id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
3686,t,30,60,90,365,2022-12-20,f
196429,t,23,53,83,358,2022-12-20,f
198685,t,11,11,11,231,2022-12-20,f
201116,t,26,56,86,361,2022-12-20,f
204741,t,0,0,0,168,2022-12-20,f
205809,t,19,49,79,354,2022-12-20,f
223203,t,29,59,89,364,2022-12-20,t
223922,t,4,21,42,54,2022-12-20,t
251611,t,30,60,90,365,2022-12-20,f
251615,t,30,60,90,365,2022-12-20,t
251619,t,30,60,90,365,2022-12-20,t
262629,t,13,19,49,324,2022-12-20,f
290001,t,22,41,71,161,2022-12-20,f
296196,t,13,41,44,260,2022-12-20,t
299030,t,30,60,90,365,2022-12-20,f
303723,t,0,17,47,47,2022-12-20,t
306465,t,20,50,80,80,2022-12-20,f
313405,t,29,59,89,364,2022-12-20,f
322610,f,0,0,0,0,2022-12-20,f
322611,f,0,0,0,0,2022-12-20,f
326938,t,30,60,90,365,2022-12-20,f
339208,t,24,54,70,290,2022-12-20,t
355527,t,14,41,63,120,2022-12-20,f
382111,t,0,0,0,0,2022-12-20,f
409582,t,10,33,54,144,2022-12-20,f
437005,t,29,59,89,364,2022-12-20,f
453159,t,8,34,49,301,2022-12-20,f
453315,t,17,43,67,337,2022-12-20,f
501809,t,28,58,88,363,2022-12-20,f
542144,t,18,42,42,302,2022-12-20,f
560341,t,0,0,0,202,2022-12-20,f
563607,t,9,24,54,54,2022-12-20,t
583236,t,0,0,0,31,2022-12-20,f
594394,t,29,59,89,89,2022-12-20,f
610655,t,0,0,0,0,2022-12-20,f
626868,t,8,34,64,332,2022-12-20,f
627758,t,30,60,90,365,2022-12-20,f
630062,t,19,49,72,309,2022-12-20,f
638604,t,30,60,90,365,2022-12-20,f
654835,t,30,60,90,365,2022-12-20,f
660514,t,5,5,5,5,2022-12-20,t
688914,t,22,22,36,311,2022-12-20,f
713529,t,30,60,89,179,2022-12-20,t
723716,t,0,5,5,5,2022-12-20,f
748316,t,30,60,79,344,2022-12-20,f
763569,t,0,0,0,115,2022-12-20,f
794213,t,23,53,83,248,2022-12-20,f
800076,t,28,58,88,363,2022-12-20,f
808830,t,23,52,82,353,2022-12-20,f
815855,t,18,18,20,207,2022-12-20,f
828497,t,13,43,61,192,2022-12-20,f
841234,t,9,9,27,302,2022-12-20,f
841260,t,0,0,0,142,2022-12-20,f
842418,t,30,60,90,90,2022-12-20,f
860336,t,15,33,58,148,2022-12-20,f
860776,t,30,60,90,252,2022-12-20,f
861775,t,30,32,49,324,2022-12-20,f
871825,t,0,0,0,0,2022-12-20,f
873182,t,30,60,90,284,2022-12-20,f
883653,t,1,1,1,1,2022-12-20,f
886283,t,20,20,20,228,2022-12-20,f
887461,t,0,0,0,264,2022-12-20,f
1901631,t,2,23,36,49,2022-12-20,f
1936134,t,8,38,68,314,2022-12-20,f
1944504,t,23,53,83,83,2022-12-20,f
1978626,t,8,38,68,116,2022-12-20,f
1997483,t,0,12,42,317,2022-12-20,f
2033421,t,25,25,25,183,2022-12-20,f
2060129,t,0,0,0,248,2022-12-20,f
2089771,t,0,0,0,0,2022-12-20,f
2097166,t,20,47,77,80,2022-12-20,f
2098615,t,17,47,77,77,2022-12-20,t
2111965,t,30,60,90,365,2022-12-20,f
2115421,t,30,60,90,365,2022-12-20,f
2137730,f,0,0,0,0,2022-12-20,f
2141766,t,10,40,70,70,2022-12-20,f
2187594,t,20,50,80,355,2022-12-20,t
2198232,t,16,46,70,70,2022-12-20,f
2241084,t,0,0,0,0,2022-12-20,f
2241400,t,3,3,3,176,2022-12-20,t
2257433,t,27,57,65,94,2022-12-20,f
2257488,t,30,60,90,287,2022-12-20,f
2259215,t,29,59,89,178,2022-12-20,f
2263350,t,29,42,42,273,2022-12-20,f
2277705,t,15,45,75,165,2022-12-20,f
2304761,t,0,0,0,173,2022-12-20,f
2308259,t,20,45,75,75,2022-12-20,f
2308761,t,0,0,0,0,2022-12-20,f
2318183,t,11,37,62,150,2022-12-20,f
2343987,t,3,10,34,290,2022-12-20,f
2346018,t,0,0,0,0,2022-12-20,f
2351587,t,19,21,51,154,2022-12-20,t
2361802,t,3,17,41,194,2022-12-20,t
2365726,t,30,60,90,365,2022-12-20,f
2371799,t,30,60,90,365,2022-12-20,t
2380536,t,0,0,0,110,2022-12-20,f
2466942,t,15,45,75,350,2022-12-20,f
2468252,t,30,60,90,365,2022-12-20,f
2476761,t,0,18,48,323,2022-12-20,f
2477325,t,25,55,85,175,2022-12-20,f
2477330,t,29,59,89,362,2022-12-20,f
2479145,t,23,53,83,358,2022-12-20,f
2483191,t,29,59,89,364,2022-12-20,f
2501387,t,30,60,90,365,2022-12-20,f
2501531,t,17,47,72,162,2022-12-20,f
2516656,t,28,58,88,355,2022-12-20,f
2523708,t,8,38,68,158,2022-12-20,f
2538828,t,24,54,84,359,2022-12-20,f
2543133,t,6,34,63,63,2022-12-20,f
2547672,t,30,40,40,242,2022-12-20,f
2551952,t,10,10,10,81,2022-12-20,f
2657916,t,3,33,63,338,2022-12-20,f
2685655,t,30,60,90,333,2022-12-20,f
2690487,t,27,57,87,347,2022-12-20,f
2694647,t,6,6,34,136,2022-12-20,t
2791050,t,7,24,39,260,2022-12-20,f
2874685,t,7,27,53,53,2022-12-20,f
2897706,t,0,0,0,0,2022-12-20,f
2950354,t,30,60,90,365,2022-12-20,f
2964999,t,29,59,89,364,2022-12-20,f
3011894,t,0,0,0,0,2022-12-20,f
3103276,t,5,5,5,214,2022-12-20,f
3119991,t,29,59,89,364,2022-12-20,f
3136813,t,20,45,75,75,2022-12-20,f
3175218,t,17,47,77,109,2022-12-20,f
3199232,t,21,48,71,326,2022-12-20,f
3201115,t,18,48,78,337,2022-12-20,f
3237702,t,26,56,86,86,2022-12-20,f
3272654,t,30,60,90,365,2022-12-20,f
3317645,t,19,49,74,319,2022-12-20,f
3410285,t,0,0,0,0,2022-12-20,f
3457199,t,30,60,90,365,2022-12-20,f
3544432,t,29,59,89,364,2022-12-20,f
3601131,t,17,42,62,283,2022-12-20,f
3604624,t,0,1,6,96,2022-12-20,t
3627430,t,0,4,20,84,2022-12-20,f
3633359,t,18,48,78,145,2022-12-20,f
3635540,t,15,45,58,130,2022-12-20,t
3645740,t,9,9,9,9,2022-12-20,f
3651862,t,16,46,71,159,2022-12-20,f
3674676,t,30,60,90,365,2022-12-20,f
3698666,f,0,0,0,0,2022-12-20,f
3700395,f,0,0,0,0,2022-12-20,f
3743036,t,30,60,90,365,2022-12-20,f
3760995,t,30,60,90,365,2022-12-20,f
3761001,t,30,60,90,365,2022-12-20,f
3789313,t,30,60,90,180,2022-12-20,f
3806145,t,0,0,0,0,2022-12-20,f
3810218,t,30,60,90,365,2022-12-20,f
3821950,t,30,60,90,365,2022-12-20,f
3822015,t,30,60,90,365,2022-12-20,f
3822053,t,30,60,90,365,2022-12-20,f
3822134,t,30,60,90,365,2022-12-20,f
3851703,t,30,60,90,365,2022-12-20,f
3861766,t,6,7,18,185,2022-12-20,f
3897112,t,25,55,85,265,2022-12-20,f
3898306,t,9,39,63,307,2022-12-20,f
3907276,t,18,48,59,59,2022-12-20,f
3912498,t,6,21,51,51,2022-12-20,f
3914048,t,28,58,88,363,2022-12-20,f
3964658,t,0,0,14,164,2022-12-20,f
3996972,t,30,60,90,365,2022-12-20,t
3997598,t,30,31,39,314,2022-12-20,f
4022565,t,30,60,90,365,2022-12-20,f
4024085,t,23,53,83,358,2022-12-20,f
4025236,t,23,53,83,358,2022-12-20,f
4025438,t,23,53,83,358,2022-12-20,f
4033904,t,26,56,86,176,2022-12-20,f
4054129,t,18,18,18,255,2022-12-20,f
4055607,t,6,28,36,87,2022-12-20,f
4083095,t,10,24,29,183,2022-12-20,f
4085972,t,30,60,90,180,2022-12-20,f
4092017,t,29,59,89,364,2022-12-20,t
4204367,t,29,59,89,360,2022-12-20,f
4218583,t,0,0,0,0,2022-12-20,f
4231934,t,30,60,90,180,2022-12-20,t
4244705,t,4,24,49,324,2022-12-20,f
4284144,t,24,47,73,214,2022-12-20,t
4286181,t,30,60,90,365,2022-12-20,f
4301665,t,12,39,56,249,2022-12-20,f
4325533,t,14,15,15,87,2022-12-20,f
4359352,t,0,0,0,0,2022-12-20,f
4408378,t,5,30,56,269,2022-12-20,t
4411488,t,29,59,89,364,2022-12-20,t
4417414,t,28,58,88,363,2022-12-20,f
4420920,t,13,41,70,160,2022-12-20,f
4427874,t,30,60,90,365,2022-12-20,t
4447266,t,29,59,89,364,2022-12-20,t
4468741,f,0,0,0,0,2022-12-20,f
4482916,t,0,0,9,99,2022-12-20,f
4482945,t,15,30,60,319,2022-12-20,f
4535738,t,29,59,89,364,2022-12-20,f
4545885,t,9,37,63,145,2022-12-20,f
4552932,t,11,35,61,168,2022-12-20,f
4565447,t,7,27,46,203,2022-12-20,t
4574014,t,17,47,77,153,2022-12-20,f
4579903,t,30,60,90,365,2022-12-20,f
4580159,t,30,60,90,365,2022-12-20,f
4604357,t,0,0,0,89,2022-12-20,f
4605036,t,0,0,0,264,2022-12-20,f
