id,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3686,1,0,1,0
196429,1,1,0,0
198685,1,0,1,0
201116,1,1,0,0
204741,2,0,2,0
205809,1,1,0,0
223203,4,0,4,0
223922,5,3,2,0
251611,4,0,4,0
251615,4,0,4,0
251619,4,0,4,0
262629,2,1,1,0
290001,1,1,0,0
296196,1,1,0,0
299030,2,0,2,0
303723,1,1,0,0
306465,1,1,0,0
313405,2,0,2,0
322610,2,2,0,0
322611,2,2,0,0
326938,4,2,2,0
339208,1,1,0,0
355527,1,1,0,0
382111,1,1,0,0
409582,1,1,0,0
437005,2,0,2,0
453159,1,1,0,0
453315,1,1,0,0
501809,4,0,4,0
542144,1,1,0,0
560341,5,3,2,0
563607,1,1,0,0
583236,1,1,0,0
594394,3,0,3,0
610655,1,1,0,0
626868,3,3,0,0
627758,4,2,2,0
630062,3,3,0,0
638604,4,2,2,0
654835,4,2,2,0
660514,2,0,2,0
688914,4,0,4,0
713529,14,1,13,0
723716,2,2,0,0
748316,1,1,0,0
763569,5,3,2,0
794213,1,1,0,0
800076,1,1,0,0
808830,1,0,1,0
815855,3,3,0,0
828497,1,0,1,0
841234,35,0,35,0
841260,35,0,35,0
842418,1,1,0,0
860336,4,1,3,0
860776,35,0,35,0
861775,4,0,4,0
871825,1,1,0,0
873182,1,1,0,0
883653,1,1,0,0
886283,1,1,0,0
887461,35,0,35,0
1901631,3,3,0,0
1936134,1,1,0,0
1944504,1,1,0,0
1978626,1,1,0,0
1997483,18,18,0,0
2033421,2,1,1,0
2060129,18,18,0,0
2089771,1,1,0,0
2097166,3,2,1,0
2098615,2,2,0,0
2111965,5,0,5,0
2115421,35,0,35,0
2137730,1,0,1,0
2141766,1,1,0,0
2187594,1,1,0,0
2198232,1,0,1,0
2241084,1,1,0,0
2241400,1,1,0,0
2257433,6,6,0,0
2257488,6,6,0,0
2259215,6,6,0,0
2263350,37,37,0,0
2277705,1,1,0,0
2304761,35,0,35,0
2308259,2,2,0,0
2308761,2,2,0,0
2318183,1,1,0,0
2343987,1,0,1,0
2346018,9,7,2,0
2351587,16,16,0,0
2361802,1,1,0,0
2365726,3,0,3,0
2371799,13,13,0,0
2380536,1,1,0,0
2466942,1,0,1,0
2468252,1,1,0,0
2476761,18,18,0,0
2477325,4,1,3,0
2477330,4,1,3,0
2479145,1,1,0,0
2483191,3,0,3,0
2501387,1,0,1,0
2501531,2,0,2,0
2516656,1,1,0,0
2523708,1,0,1,0
2538828,1,1,0,0
2543133,1,1,0,0
2547672,5,0,5,0
2551952,1,1,0,0
2657916,35,0,35,0
2685655,1,1,0,0
2690487,2,2,0,0
2694647,16,16,0,0
2791050,2,0,2,0
2874685,6,6,0,0
2897706,8,7,1,0
2950354,3,0,3,0
2964999,19,2,17,0
3011894,1,1,0,0
3103276,2,0,2,0
3119991,1,1,0,0
3136813,1,1,0,0
3175218,1,1,0,0
3199232,1,1,0,0
3201115,1,1,0,0
3237702,2,1,1,0
3272654,3,0,3,0
3317645,1,1,0,0
3410285,1,1,0,0
3457199,1,1,0,0
3544432,1,1,0,0
3601131,1,1,0,0
3604624,1,1,0,0
3627430,1,1,0,0
3633359,1,1,0,0
3635540,1,1,0,0
3645740,1,1,0,0
3651862,1,1,0,0
3674676,4,0,4,0
3698666,2,0,1,1
3700395,2,0,1,1
3743036,9,0,7,2
3760995,35,0,35,0
3761001,35,0,35,0
3789313,4,4,0,0
3806145,1,1,0,0
3810218,2,2,0,0
3821950,9,0,7,2
3822015,9,0,7,2
3822053,9,0,7,2
3822134,9,0,7,2
3851703,5,0,5,0
3861766,2,2,0,0
3897112,1,1,0,0
3898306,37,37,0,0
3907276,2,2,0,0
3912498,2,1,1,0
3914048,1,1,0,0
3964658,1,1,0,0
3996972,4,4,0,0
3997598,1,1,0,0
4022565,19,2,17,0
4024085,3,0,3,0
4025236,3,0,3,0
4025438,3,0,3,0
4033904,1,1,0,0
4054129,1,1,0,0
4055607,1,1,0,0
4083095,1,1,0,0
4085972,1,1,0,0
4092017,13,13,0,0
4204367,4,1,3,0
4218583,19,2,17,0
4231934,14,1,13,0
4244705,3,1,2,0
4284144,2,2,0,0
4286181,4,0,4,0
4301665,1,1,0,0
4325533,1,1,0,0
4359352,1,1,0,0
4408378,2,2,0,0
4411488,19,2,17,0
4417414,1,1,0,0
4420920,2,1,1,0
4427874,5,0,5,0
4447266,13,13,0,0
4468741,1,1,0,0
4482916,2,2,0,0
4482945,1,0,1,0
4535738,1,1,0,0
4545885,2,2,0,0
4552932,1,1,0,0
4565447,1,1,0,0
4574014,1,1,0,0
4579903,18,18,0,0
4580159,18,18,0,0
4604357,1,1,0,0
4605036,1,1,0,0
4616068,2,2,0,0
4622571,2,2,0,0
4634946,2,1,1,0
4635196,1,1,0,0
4645378,1,1,0,0
4708026,5,5,0,0
4758676,1,1,0,0
4764483,1,1,0,0
4767589,1,1,0,0
4782976,15,0,2,13
4789751,1,1,0,0
4801046,1,1,0,0
4841217,3,3,0,0
4848799,3,0,3,0
4860800,1,1,0,0
4881590,1,1,0,0
4887569,1,1,0,0
4901758,1,1,0,0
4922023,1,1,0,0
4924193,1,0,1,0
4928685,2,1,1,0
4936102,37,37,0,0
4943572,1,1,0,0
4948442,1,1,0,0
4978586,4,4,0,0
4978657,3,3,0,0
5003334,1,1,0,0
5012334,1,1,0,0
5014903,1,1,0,0
5015395,1,0,1,0
5018679,3,2,1,0
5026926,3,3,0,0
5030765,2,2,0,0
5030785,2,2,0,0
5051005,1,0,1,0
5066458,1,1,0,0
5075773,2,2,0,0
5076606,19,2,17,0
5082818,2,2,0,0
5089725,4,4,0,0
5111311,4,1,3,0
5132940,2,1,1,0
5140121,2,1,1,0
5145487,4,1,3,0
5154288,1,1,0,0
5156582,1,1,0,0
5166322,2,2,0,0
5195346,1,1,0,0
5239084,1,1,0,0
5262416,1,1,0,0
5278479,6,6,0,0
5286261,2,2,0,0
5318112,2,2,0,0
5354872,1,1,0,0
5372128,1,1,0,0
5405384,17,17,0,0
5405966,1,1,0,0
5560185,6,6,0,0
5592949,3,1,2,0
5593096,3,1,2,0
5660850,1,1,0,0
5661282,1,0,1,0
5755232,1,1,0,0
