id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
3686,31,365,31.0,31.0,365.0,365.0,31.0,365.0
196429,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
198685,31,365,31.0,31.0,365.0,365.0,31.0,365.0
201116,31,730,31.0,31.0,730.0,730.0,31.0,730.0
204741,31,180,31.0,31.0,180.0,180.0,31.0,180.0
205809,31,300,2.0,31.0,120.0,300.0,29.9,293.0
223203,31,3365,31.0,31.0,3365.0,3365.0,31.0,3365.0
223922,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
251611,31,3365,31.0,31.0,3365.0,3365.0,31.0,3365.0
251615,31,1825,31.0,31.0,1825.0,1825.0,31.0,1825.0
251619,31,1000,31.0,31.0,1000.0,1000.0,31.0,1000.0
262629,7,400,7.0,13.0,400.0,400.0,7.3,400.0
290001,2,14,2.0,2.0,14.0,14.0,2.0,14.0
296196,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
299030,1,90,1.0,1.0,90.0,90.0,1.0,90.0
303723,2,180,2.0,2.0,1125.0,1125.0,2.0,1125.0
306465,2,120,2.0,2.0,120.0,120.0,2.0,120.0
313405,1,90,1.0,1.0,90.0,90.0,1.0,90.0
322610,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
322611,90,240,90.0,90.0,240.0,240.0,90.0,240.0
326938,31,300,31.0,31.0,300.0,300.0,31.0,300.0
339208,4,365,4.0,4.0,1125.0,1125.0,4.0,1125.0
355527,2,30,2.0,2.0,30.0,30.0,2.0,30.0
382111,3,29,3.0,3.0,29.0,29.0,3.0,29.0
409582,2,1125,1.0,6.0,1125.0,1125.0,5.0,1125.0
437005,31,120,31.0,31.0,120.0,120.0,31.0,120.0
453159,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
453315,2,30,2.0,2.0,30.0,30.0,2.0,30.0
501809,31,365,31.0,31.0,365.0,365.0,31.0,365.0
542144,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
560341,30,10000,30.0,30.0,10000.0,10000.0,30.0,10000.0
563607,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0
583236,4,14,4.0,4.0,14.0,14.0,4.0,14.0
594394,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0
610655,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
626868,3,10,2.0,3.0,10.0,10.0,2.4,10.0
627758,31,365,31.0,31.0,365.0,365.0,31.0,365.0
630062,3,14,3.0,4.0,14.0,14.0,3.1,14.0
638604,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
654835,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
660514,31,180,31.0,31.0,180.0,180.0,31.0,180.0
688914,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
713529,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
723716,4,150,4.0,5.0,99.0,150.0,4.0,148.6
748316,2,15,2.0,2.0,1125.0,1125.0,2.0,1125.0
763569,60,1000,60.0,60.0,1000.0,1000.0,60.0,1000.0
794213,100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0
800076,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
808830,1,30,1.0,1.0,30.0,30.0,1.0,30.0
815855,31,365,31.0,31.0,365.0,365.0,31.0,365.0
828497,3,30,3.0,3.0,30.0,30.0,3.0,30.0
841234,31,365,31.0,31.0,365.0,365.0,31.0,365.0
841260,31,360,31.0,31.0,360.0,360.0,31.0,360.0
842418,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
860336,1,30,1.0,2.0,30.0,89.0,1.0,32.3
860776,31,365,31.0,31.0,365.0,365.0,31.0,365.0
861775,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
871825,31,120,31.0,31.0,120.0,120.0,31.0,120.0
873182,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
883653,3,40,4.0,4.0,1125.0,1125.0,4.0,1125.0
886283,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0
887461,31,365,31.0,31.0,365.0,365.0,31.0,365.0
1901631,2,1125,2.0,150.0,1125.0,1125.0,145.3,1125.0
1936134,3,15,3.0,3.0,1125.0,1125.0,3.0,1125.0
1944504,180,1000,180.0,180.0,1000.0,1000.0,180.0,1000.0
1978626,5,90,5.0,5.0,90.0,90.0,5.0,90.0
1997483,31,500,31.0,31.0,500.0,500.0,31.0,500.0
2033421,90,1100,90.0,90.0,1125.0,1125.0,90.0,1125.0
2060129,31,500,31.0,31.0,500.0,500.0,31.0,500.0
2089771,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2097166,5,30,5.0,5.0,1125.0,1125.0,5.0,1125.0
2098615,3,1124,3.0,3.0,3.0,1124.0,3.0,1113.7
2111965,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
2115421,31,365,31.0,31.0,365.0,365.0,31.0,365.0
2137730,31,180,31.0,31.0,180.0,180.0,31.0,180.0
2141766,2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0
2187594,7,365,7.0,7.0,365.0,365.0,7.0,365.0
2198232,2,7,2.0,2.0,7.0,7.0,2.0,7.0
2241084,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2241400,10,120,10.0,10.0,120.0,120.0,10.0,120.0
2257433,31,374,31.0,31.0,1125.0,1125.0,31.0,1125.0
2257488,31,730,31.0,31.0,1125.0,1125.0,31.0,1125.0
2259215,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2263350,31,365,31.0,31.0,31.0,1125.0,31.0,405.4
2277705,3,60,3.0,3.0,1125.0,1125.0,3.0,1125.0
2304761,31,365,31.0,31.0,365.0,365.0,31.0,365.0
2308259,3,365,3.0,3.0,365.0,365.0,3.0,365.0
2308761,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0
2318183,2,90,1.0,2.0,90.0,90.0,1.9,90.0
2343987,2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0
2346018,31,365,31.0,31.0,1125.0,1125.0,31.0,1125.0
2351587,31,600,31.0,31.0,1125.0,1125.0,31.0,1125.0
2361802,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0
2365726,1,45,1.0,1.0,1125.0,1125.0,1.0,1125.0
2371799,31,1125,31.0,31.0,1.0,1125.0,31.0,1023.0
2380536,31,180,31.0,31.0,180.0,180.0,31.0,180.0
2466942,7,30,7.0,7.0,30.0,30.0,7.0,30.0
2468252,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2476761,31,1000,31.0,31.0,1000.0,1000.0,31.0,1000.0
2477325,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
2477330,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
2479145,120,1125,120.0,120.0,1125.0,1125.0,120.0,1125.0
2483191,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2501387,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2501531,2,7,2.0,2.0,7.0,7.0,2.0,7.0
2516656,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
2523708,31,360,31.0,31.0,360.0,360.0,31.0,360.0
2538828,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
2543133,2,45,2.0,2.0,1125.0,1125.0,2.0,1125.0
2547672,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
2551952,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
2657916,31,365,31.0,31.0,365.0,365.0,31.0,365.0
2685655,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0
2690487,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
2694647,31,450,31.0,31.0,1125.0,1125.0,31.0,1125.0
2791050,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0
2874685,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0
2897706,1,10,1.0,1.0,10.0,10.0,1.0,10.0
2950354,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0
2964999,31,720,7.0,31.0,720.0,720.0,30.3,720.0
3011894,31,90,31.0,31.0,90.0,90.0,31.0,90.0
3103276,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0
3119991,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
3136813,3,29,3.0,3.0,1125.0,1125.0,3.0,1125.0
3175218,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0
3199232,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0
3201115,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
3237702,31,1120,31.0,31.0,1120.0,1120.0,31.0,1120.0
3272654,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
3317645,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
3410285,31,90,31.0,31.0,90.0,90.0,31.0,90.0
3457199,180,1125,180.0,180.0,1125.0,1125.0,180.0,1125.0
3544432,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0
3601131,2,30,2.0,2.0,30.0,30.0,2.0,30.0
3604624,31,365,31.0,31.0,365.0,365.0,31.0,365.0
3627430,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0
3633359,2,10,2.0,2.0,10.0,10.0,2.0,10.0
3635540,3,30,3.0,3.0,1125.0,1125.0,3.0,1125.0
3645740,31,1124,31.0,31.0,1124.0,1124.0,31.0,1124.0
3651862,2,29,2.0,2.0,1125.0,1125.0,2.0,1125.0
3674676,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
3698666,90,1125,90.0,90.0,1125.0,1125.0,90.0,1125.0
3700395,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
3743036,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
